name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.19; 0.184254; 0.0101
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.08; 0.0867454; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;1.92; 1.55791; 0.3627
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.08; 0.0862537; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.2; 0.1934; 0.0099
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.08; 0.086562; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.19; 0.1821; 0.0101
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.09; 0.0864235; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.22; 0.229334; 0.0109
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.08; 0.0863334; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.17; 0.182812; 0.0101
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.09; 0.087054; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00238135; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.09; 0.0865883; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.26; 0.249424; 0.0123
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.08; 0.0862238; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.22; 0.215939; 0.0108
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.08; 0.0861592; 0.0043
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.26; 0.246835; 0.0122
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.09; 0.0868506; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.26; 0.24454; 0.0123
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.08; 0.0870231; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.26; 0.258064; 0.0123
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.09; 0.086385; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0252376; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.08; 0.0866283; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.26; 0.248686; 0.0122
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.09; 0.0863357; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00117188; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.09; 0.0870328; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00139103; 0.0001
