name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.27; 0.258634; 0.0126
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.09; 0.0886047; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00118288; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.09; 0.0895969; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00141939; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.09; 0.0947956; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;0.83; 0.66682; 0.1572
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.09; 0.091031; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;0.83; 0.665769; 0.1631
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.09; 0.0893316; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.07; 0.0754437; 0.0032
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.09; 0.0885717; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.09; 0.0864982; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.09; 0.0894908; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;2.02; 1.6126; 0.3909
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00118696; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;1.97; 1.6143; 0.3816
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.02; 0.0258; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;1.98; 1.59664; 0.3800
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.09; 0.0881173; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;1.99; 1.59727; 0.3820
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.02; 0.0256674; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;2.0; 1.58281; 0.3764
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000536902; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;1.95; 1.5956; 0.3744
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.09; 0.0888681; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;1.98; 1.59368; 0.3815
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.09; 0.0882609; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;2.0; 1.59381; 0.3894
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.09; 0.0888942; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;1.99; 1.59872; 0.3759
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00244487; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;2.05; 1.67235; 0.3771
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.02; 0.0257469; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;1.96; 1.5955; 0.3790
