name;iny-runtime;iny-parsing;iny-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.29; 0.220719; 0.0653
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00368707; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.15; 0.0873076; 0.0720
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;27.8; 1.54048; 26.3107
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.16; 0.0914252; 0.0719
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.00307882; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.15; 0.0873163; 0.0727
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.22; 0.124719; 0.1015
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.15; 0.0897644; 0.0734
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.24; 0.136333; 0.1163
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.16; 0.089442; 0.0720
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.35; 0.183108; 0.1726
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.16; 0.0893904; 0.0735
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;28.5; 1.55284; 27.0318
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.16; 0.0869616; 0.0732
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.35; 0.197747; 0.1568
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.15; 0.0880451; 0.0725
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.35; 0.182841; 0.1699
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.16; 0.0894515; 0.0733
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.39; 0.217935; 0.1799
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.16; 0.0895553; 0.0717
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.35; 0.186487; 0.1705
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.15; 0.0889917; 0.0724
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00492802; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.16; 0.0866996; 0.0737
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.44; 0.248842; 0.2000
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.15; 0.0899466; 0.0721
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.39; 0.216067; 0.1809
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.16; 0.0892637; 0.0733
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.45; 0.248524; 0.2002
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.16; 0.0893723; 0.0720
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.44; 0.250136; 0.1996
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.16; 0.0888215; 0.0736
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.45; 0.250702; 0.2005
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.15; 0.0866744; 0.0720
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.03; 0.0279357; 0.0094
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.16; 0.0876777; 0.0733
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;0.45; 0.248694; 0.2038
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.15; 0.0865316; 0.0723
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.0037504; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.15; 0.086451; 0.0737
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00171021; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.16; 0.0879967; 0.0727
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;6.46; 0.651842; 5.8291
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.15; 0.0873123; 0.0725
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;6.48; 0.660935; 5.8336
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.16; 0.087516; 0.0736
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.11; 0.0691744; 0.0472
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.16; 0.0885911; 0.0720
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.16; 0.087344; 0.0716
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.15; 0.0874488; 0.0723
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;28.71; 1.56983; 27.1971
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00373115; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;28.28; 1.56909; 26.7745
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.03; 0.0260077; 0.0108
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;28.49; 1.55737; 26.9574
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.16; 0.089081; 0.0735
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;28.35; 1.54639; 26.9104
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.03; 0.027707; 0.0106
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;28.85; 1.56113; 27.3090
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.00104521; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;28.62; 1.55426; 27.1184
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.16; 0.0871549; 0.0728
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;28.24; 1.55243; 26.7302
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.16; 0.0896859; 0.0724
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;28.71; 1.56645; 27.2375
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.15; 0.089511; 0.0721
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;28.31; 1.5615; 26.8059
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00505527; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;28.11; 1.55415; 26.5788
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.03; 0.0258181; 0.0094
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;28.61; 1.54793; 27.1121
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.001686; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;28.59; 1.56295; 27.0659
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.0039485; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;28.65; 1.55567; 27.1443
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;6.54; 0.654462; 5.8939
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;28.64; 1.5651; 27.1214
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;6.57; 0.660841; 5.9130
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;27.94; 1.56748; 26.4126
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.00109212; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;28.01; 1.55654; 26.5099
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00449169; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;28.03; 1.54993; 26.4915
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.00115802; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;28.1; 1.54182; 26.5852
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.0085186; 0.0016
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;27.89; 1.54485; 26.3551
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00248051; 0.0003
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;27.8; 1.54463; 26.2964
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00843558; 0.0016
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;28.52; 1.54356; 27.0441
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.03; 0.0276436; 0.0104
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;28.57; 1.54443; 27.0634
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.0084829; 0.0016
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;28.57; 1.54151; 27.0684
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.11; 0.0684976; 0.0463
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;28.53; 1.56331; 27.0328
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.03; 0.0281478; 0.0106
